问答对,answer,#1问句类型,#1领域类型,#1语义类型,#2问句类型,#2领域类型,#2语义类型
1972札幌冬奥会第二次世界大战后，扎幌发展为经济繁荣的城市，尤以哪几项业务为盛？,商业和服务业,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会海运以哪为外港？,临日本海的小樽,Where,Competition,Factoid,NA,NA,NA
1972札幌冬奥会无舵雪橇比赛中大显身手，以沃·沙伊德尔和以谁为首的6名男女选手，包揽了男女单座的全部奖牌？,安米勒,Who,Competition,Factoid,NA,NA,NA
1972札幌冬奥会无舵雪橇比赛中大显身手，以沃·沙伊德尔和以安·米勒为首的6名男女选手，在男子双座中，也与意大利队并列，获第几名？,一,Which,Competition,Calculation,NA,NA,NA
1972札幌冬奥会扎幌是日本最北面的城市，自1869年设为行政中心，多少年设市？,1922,When,Competition,Factoid,NA,NA,NA
1972札幌冬奥会火炬从奥林匹亚传到日本本土后，大会组织了1万5千名年龄在11～多少岁之间的青少年进行火炬接力跑？,20,How,Competition,Factoid,NA,NA,NA
1972札幌冬奥会格鲁德、安德森之后第三个在一届奥运会上取得多少枚金牌的男子速滑选手？,3,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会美国的安·亨宁在500米赛中获金牌；在上届只获500米、1500米铜牌的黛·霍勒姆获哪一项金牌？,1500米赛,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会哪位运动员在男子30公里赛中，成为本届的第一个冠军？,维切斯夫韦杰宁,Who,Competition,Factoid,NA,NA,NA
1972札幌冬奥会哪位运动员是前苏联在男子越野滑雪个人赛中第一个金牌获得者？,维切斯夫韦杰宁,Who,Competition,Factoid,NA,NA,NA
1972札幌冬奥会维切斯夫·韦杰宁在4X10公里赛中获得第几名？,第一名,Which,Competition,Calculation,NA,NA,NA
1972札幌冬奥会本届高山滑雪成绩最突出的是瑞士队，在男女项目中共获取了多少枚金牌？,3,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会大回转赛中夺得多少枚金牌？,2,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会有舵雪橇的男子双座和多少人座由前联邦德国和瑞士分获金牌？,4,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会冬奥会上，也仅在哪一年冬奥会上获过1枚银牌，但日本的扎幌却出人意料击败强有力的对手，夺得了主办权？,1956,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会扎幌是日本最北面的城市，自什么时候设为行政中心，1922年设市？,1869,When,Competition,Factoid,NA,NA,NA
1972札幌冬奥会同第几届夏季奥运会一样，日本组织了大型的火炬接力活动？,1964,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会扎幌冬奥会吸引了多少名记者前来采访？,3895,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会当时男子各项距离赛，除5000米外，谁都居领先地位？,荷兰,Who,Competition,Factoid,NA,NA,NA
1972札幌冬奥会美国的安·亨宁在500米赛中获第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会在上届只得500米、1500米第二名的黛·霍勒姆这届获1500米第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会维切斯夫·韦杰宁在男子30公里赛中，成为本届的第几个冠军？,一个,Which,Competition,Calculation,NA,NA,NA
1972札幌冬奥会维切斯夫·韦杰宁是前苏联在男子越野滑雪个人赛中第一个金牌获得者，他还在4X10公里赛中获几枚金牌？,1,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会跳台滑雪的哪一项冠军被波兰的沃-福尔图纳获取，这也是波兰第一次取得这样的成就？,90米台,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会本届高山滑雪成绩最突出的是瑞士队，在男女项目中共获取了多少枚金牌？,3,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会大回转赛中夺得多少枚金牌？,2,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会索尔伯格蝉联了个人冠军，他在开幕式后翌日刚满多少周岁，金牌成了他生日的礼物？,35,How,Competition,Factoid,NA,NA,NA
1972札幌冬奥会日本队夺得的第一枚冬奥会金牌是在哪个比赛项目？,70米跳台滑雪,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会国际奥委会允许来自社会主义国家的冰球运动员参赛，他们从什么时候开始，就不再派冰球队参加国际比赛，也抵制了这次冬奥会？,1969,Who,Competition,Factoid,When,Competition,Factoid
1972札幌冬奥会国际奥委会共有多少个成员国/地区参加了本届冬奥会比赛？,37个,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会共有多少名运动员参赛？,1072人,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会共有多少名男运动员参赛？,839人,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会共有多少名女运动员参赛？,233人,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会哪些国家是第一次参加冬奥会？,中国、哥斯达黎加和塞浦路斯,Who,Competition,Factoid,NA,NA,NA
1972札幌冬奥会新增加了哪项比赛项目？,现代冬季两项10公里个人赛,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会共设了多少个大项的比赛？,6个,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会共设了多少个小项的比赛？,38个,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会现代冬季两项和雪橇赛事在哪举办？,霍文伯格山,Where,Competition,Factoid,NA,NA,NA
1972札幌冬奥会跳雪赛事在哪举办？,特维尔雪场,Where,Competition,Factoid,NA,NA,NA
1972札幌冬奥会滑雪赛事在哪举办？,怀特菲斯山,Where,Competition,Factoid,NA,NA,NA
1972札幌冬奥会滑冰，冰球赛事在哪举办？,奥林匹克中心冰场,Where,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会在什么时候举办？,1980年2月13日-24日,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会的举办地点在哪？,美国普莱西德湖,Where,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目就有多少人打破奥运会记录？,63人,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目就有多少次打破奥运会记录？,108次,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会奥运会强手如林，成绩卓著，仅男女速度滑冰的9个项目打破了几项世界纪录？,1项,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会谁也是冰坛风云人物？,海登的妹妹贝恩·海登,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会民主德国在雪橇赛中获得了几项冠军？,4项,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会本届大会期间，从世界各地涌来的客人有将近多少人？,5万人,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会开幕会由谁宣布？,副总统蒙代尔,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会由花样滑冰改练速滑不久的民主德国18岁的卡林·恩克获得了哪一项目的冠军？,500米速滑,Which,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会速滑1500米冠军是谁？,荷兰28岁的女护士安妮·博尔金克,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会哪位运动员由花样滑冰改练速滑？,民主德国的卡林·恩克,Who,Competition,Factoid,NA,NA,NA
为什么他在1980普莱西德湖冬奥会被授予第十三届冬奥会杰出运动员的光荣称号？,因为海登囊括了全部5个速滑项目的金牌,Why,Competition,Descriptive,Who,Competition,Factoid
1980普莱西德湖冬奥会这个小镇固然有承办运动会的经验，但1932年冬奥会无论从参加人数(17国307人)还是竞赛规模(17个单项)都是无法与本届相提并论的吗？,没错,Whether,Competition,Inference,NA,NA,NA
1980普莱西德湖冬奥会在哪位运动员参加了速滑的5个项目比赛？,美国速滑运动员埃里克·海登,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会速滑从500米到10000米，哪位运动员全部打破奥运会纪录？,美国速滑运动员埃里克·海登,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会美国速滑运动员埃里克海将10000米世界纪录缩短了多少秒？,,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会奥运会组委会从什么时候就开始大兴土木？,1977,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会运动员在内的客人就达多少万人之多？,5,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会随后海登在速滑10000米以多久的成绩刷新了世界纪录？,14分28秒13,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会著名选手苏联的娜特鲁谢娃和挪威的布埃延森分获了1000、3000米第几名？,第一名,How,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会罗德尼娜是什么时候世界最著名的花样滑冰运动员？,70年代后期,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会女子项目哪位运动员成绩最成绩突出?,民主德国的芭芭拉·佩措尔德,Who,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会芭芭拉·佩措尔德在10公里和接力项目中获第几名？,一名,Which,Competition,Factoid,NA,NA,NA 
1980普莱西德湖冬奥会20岁安东·伊瑙尔带伤上阵，在哪一项目中也独占鳌头？,70米跳台跳雪,Which,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会20岁的替补队员莱昂哈德·斯托克，在哪一项比赛中意外取胜？,速降比赛,Which,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会大回转赛中各得银牌多少枚？,1,How,Competition,Calculation,NA,NA,NA 
1980普莱西德湖冬奥会民主德国在雪橇赛中仍占有较大优势，获全部5项中的多少项冠军？,4,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会苏联自1956年参加奥运会冰球赛以来，曾5次夺魁，美国队于哪年也曾获一次冠军？,1960,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会这支美国历史上最年轻的冰球队在比分三度落后的不利形势下顽强奋战，结果以4:多少反败为胜？,3,How,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会2月24日美国对芬兰再以4:2取胜，实现了他们东山再起的宿愿，打破了苏联自哪年来垄断冰球冠军的局面？,1964,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会运动员，参加了滑冰、滑雪、现代冬季两项的多少个单项比赛？,18,Who,Competition,Factoid,How,Competition,Calculation
1980普莱西德湖冬奥会本届竞赛项目除增加1项现代冬季两项10公里个人赛外，其余均与上届相同，大会共设6个大项多少个小项的比赛？,38,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会大会共招募到多少名志愿服务者？,6703,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会在他参加的多少个项目比赛：从500米到10000米，他全部打破奥运会纪录，还将10000米的世界纪录缩短了6.20秒？,5,Who,Competition,Factoid,How,Competition,Calculation
"1980普莱西德湖冬奥会自哪年冬奥会在这里召开以后，普莱西德湖这个人口不多(1932年不足2千人,1980年为2700人左右)的山间小镇，成为美国冬季运动活跃的场所之一？",1932,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会普莱西德湖奥林匹克之火是什么时候在奥林匹亚林中点燃的，于开幕前一天传到主办地？,1980年1月30日,When,Competition,Factoid,Where,Competition,Factoid
1980普莱西德湖冬奥会2月13日当地时间几点，运动会正式开幕？,2时半,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会梅特，夺下第二枚金牌，成绩是多少分02秒29，也是奥运会新纪录？,7,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会海登囊括了全部多少个速滑项目的金牌，这在奥运会史上是独一无二的？,5,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会女子全部多少项冠军为荷兰、民主德国、挪威、苏联均分？,4,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会苏联自哪年参加奥运会冰球赛以来，曾5次夺魁，美国队于1960年也曾获一次冠军？,1956,When,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会这支美国历史上最年轻的冰球队在比分三度落后的不利形势下顽强奋战，结果以多少:3反败为胜？,4,How,Competition,Factoid,NA,NA,NA
1980普莱西德湖冬奥会本届苏联成绩仍继续领先，获金牌多少枚，银、铜牌各6枚；居第二位的民主德国队金牌比苏联少1枚，而银、铜牌却比后者各多1枚；东道主美国列第三，金、银、铜牌分别为6、4、2枚？,10,How,Competition,Calculation,NA,NA,NA
1980普莱西德湖冬奥会运动员，参加了滑冰、滑雪、现代冬季两项的多少个单项比赛？,18,Who,Competition,Factoid,How,Competition,Calculation
1984年萨拉热窝冬奥会是社会主义国家第几次举行？,第一次，也是唯一一次。,How,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会击败了谁获得了第十四届冬奥会举办权？,日本的札幌和瑞典法伦/哥特堡,Who,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会的举办地点在哪？,南斯拉夫的萨拉热窝,Where,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会的历时多少天？,12天,How,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的志愿者有多少人？,10450人,How,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的参赛国有多少个？,49个（含地区）,How,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的吉祥物是哪个动物？,狼,Which,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会的举办是在什么时间？,1984年2月8～19日,When,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会的参赛运动员有多少人？,1272人,Which,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的参赛男运动员有多少人？,998人,Which,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的参赛女运动员有多少人？,274人,Which,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的新闻记者有多少人？,7393人,Which,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的小项有多少？,39项,Which,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会的金牌榜第一位哪个国家？,民主德国,Where,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会冬奥会第几次有黑人选手参赛？,第一次,How,Competition,Calculation,NA,NA,NA
1984年萨拉热窝冬奥会由谁出席并宣布大会开幕？,前南斯拉夫联邦主席团主席米·什度利亚克,Who,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会这届冬奥会哪位运动员奋力拼搏，在10公里、5公里、20公里比赛中连续夺魁？,芬兰的“越野滑雪女王”海迈莱伊宁,Who,Competition,Factoid,NA,NA,NA
1984年萨拉热窝冬奥会这届冬奥会哪位运动员是冬奥会滑雪史上第一个取得如此成就的女选手？,芬兰的“越野滑雪女王”海迈莱伊宁,Who,Competition,Factoid,NA,NA,NA
